Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureBucket,PromotionGapRatio,IncomePerJobLevel,AttritionRiskScore,RiskTier
48,0,Travel_Rarely,180,Sales,19,3,Life Sciences,4,Female,77,1,4,Laboratory Technician,4,Divorced,10357,10420,4,No,21,3,2,2,18,3,1,17,10,16,2,10+yrs,0.8888888888888888,2589.25,0.10333333333333333,Low
23,0,Travel_Rarely,637,Research & Development,21,2,Other,2,Female,97,2,4,Research Scientist,4,Divorced,8054,15514,1,No,15,3,4,2,25,3,4,23,14,18,1,10+yrs,0.75,2013.5,0.25333333333333335,Low
30,0,Non-Travel,224,Research & Development,16,4,Life Sciences,3,Female,37,2,4,Laboratory Technician,2,Single,13287,14216,0,No,20,3,1,1,20,3,4,19,5,16,5,10+yrs,0.8,3321.75,0.14666666666666667,Low
35,1,Travel_Rarely,660,Research & Development,1,2,Marketing,3,Male,75,2,1,Manufacturing Director,2,Divorced,1993,18904,3,No,22,3,2,1,6,1,1,4,4,0,3,3-5yrs,0.0,1993.0,0.9166666666666666,High
25,0,Travel_Rarely,1162,Research & Development,28,2,Marketing,3,Male,65,1,3,Human Resources,4,Single,14568,19543,1,Yes,14,3,2,2,22,1,1,20,14,16,9,10+yrs,0.7619047619047619,4856.0,0.18666666666666668,Low
53,0,Travel_Rarely,996,Research & Development,24,1,Marketing,3,Female,71,3,2,Human Resources,3,Married,15107,13399,5,No,19,3,2,1,3,5,4,2,2,0,2,0-2yrs,0.0,7553.5,0.006666666666666667,Low
57,0,Travel_Frequently,1154,Sales,11,4,Other,2,Male,36,2,2,Human Resources,2,Single,5305,25240,4,No,15,3,1,0,15,2,4,14,13,10,13,10+yrs,0.6666666666666666,2652.5,0.06,Low
28,0,Travel_Rarely,1132,Sales,15,1,Medical,3,Male,31,4,1,Healthcare Representative,2,Divorced,3862,25204,4,No,21,3,1,2,14,1,1,12,0,11,11,10+yrs,0.8461538461538461,3862.0,0.07333333333333333,Low
18,0,Travel_Rarely,1489,Research & Development,4,1,Technical Degree,2,Male,72,4,1,Manager,4,Divorced,12923,13879,4,Yes,18,3,4,2,15,5,3,13,10,6,2,10+yrs,0.42857142857142855,12923.0,0.16666666666666666,Low
29,0,Travel_Frequently,1331,Research & Development,28,4,Medical,3,Female,43,3,4,Sales Representative,1,Single,5883,24548,0,No,21,3,4,2,16,0,2,12,2,11,12,10+yrs,0.8461538461538461,1470.75,0.3566666666666667,Medium
42,0,Travel_Rarely,920,Research & Development,7,3,Other,4,Female,72,4,4,Laboratory Technician,1,Married,18889,18021,3,No,19,3,2,2,2,2,3,0,0,0,0,0-2yrs,0.0,4722.25,0.03333333333333333,Low
51,0,Travel_Frequently,1326,Sales,11,1,Human Resources,1,Female,31,2,3,Healthcare Representative,3,Single,15729,5474,0,No,19,3,1,2,14,4,2,12,0,3,5,10+yrs,0.23076923076923078,5243.0,0.03666666666666667,Low
32,0,Non-Travel,167,Research & Development,13,2,Marketing,3,Male,86,4,1,Healthcare Representative,1,Married,19145,4989,3,No,12,3,2,3,25,2,1,23,12,16,0,10+yrs,0.6666666666666666,19145.0,0.09333333333333334,Low
29,0,Non-Travel,1109,Sales,8,3,Life Sciences,1,Male,53,4,3,Manufacturing Director,1,Married,11159,3998,6,No,22,4,4,3,14,5,2,10,5,6,10,6-10yrs,0.5454545454545454,3719.6666666666665,0.06666666666666667,Low
28,0,Travel_Rarely,830,Research & Development,19,1,Life Sciences,2,Male,61,1,1,Healthcare Representative,4,Divorced,18831,7294,8,No,13,3,4,3,7,2,3,6,3,3,2,6-10yrs,0.42857142857142855,18831.0,0.15,Low
18,1,Travel_Rarely,1439,Sales,29,4,Medical,3,Male,54,3,3,Manufacturing Director,2,Single,1265,9807,2,Yes,16,3,4,0,25,3,4,24,8,16,3,10+yrs,0.64,421.6666666666667,0.3566666666666667,Medium
18,1,Travel_Rarely,805,Research & Development,25,3,Marketing,2,Male,59,2,1,Sales Executive,3,Single,6508,3728,2,No,18,4,4,0,3,2,1,2,2,0,2,0-2yrs,0.0,6508.0,0.7733333333333333,High
35,0,Travel_Frequently,350,Research & Development,16,1,Other,1,Male,67,2,2,Sales Representative,2,Married,1042,17203,6,Yes,22,3,3,1,15,2,4,12,2,8,1,10+yrs,0.6153846153846154,521.0,0.24,Low
43,0,Non-Travel,1113,Research & Development,4,3,Life Sciences,2,Female,75,2,1,Human Resources,1,Divorced,13873,12280,8,No,19,3,3,2,15,2,3,12,4,5,5,10+yrs,0.38461538461538464,13873.0,0.08333333333333333,Low
18,0,Non-Travel,1430,Sales,26,1,Technical Degree,1,Male,78,4,4,Sales Representative,1,Divorced,10702,17039,2,No,13,3,4,0,13,5,4,11,9,2,3,10+yrs,0.16666666666666666,2675.5,0.08333333333333333,Low
26,0,Travel_Rarely,122,Research & Development,8,3,Marketing,3,Female,99,4,3,Human Resources,4,Single,6465,14576,7,No,15,3,3,0,24,4,4,23,1,14,0,10+yrs,0.5833333333333334,2155.0,0.11,Low
56,0,Non-Travel,189,Sales,27,2,Life Sciences,1,Female,42,2,4,Manufacturing Director,1,Single,6794,8791,2,No,13,4,2,0,13,2,1,10,10,10,10,6-10yrs,0.9090909090909091,1698.5,0.11333333333333333,Low
59,0,Travel_Rarely,1025,Research & Development,12,1,Technical Degree,2,Male,91,2,1,Sales Executive,3,Divorced,13231,17373,5,No,19,3,3,2,25,2,1,24,7,16,3,10+yrs,0.64,13231.0,0.10333333333333333,Low
44,0,Non-Travel,877,Sales,16,3,Human Resources,2,Male,72,3,3,Laboratory Technician,2,Divorced,4425,25777,1,No,21,4,2,3,5,2,4,1,1,0,1,0-2yrs,0.0,1475.0,0.07333333333333333,Low
39,0,Travel_Rarely,868,Sales,13,2,Other,4,Male,51,3,2,Research Director,2,Married,10776,9918,2,No,20,3,3,1,21,4,1,18,6,13,12,10+yrs,0.6842105263157895,5388.0,0.31,Low
42,1,Travel_Rarely,226,Research & Development,14,2,Technical Degree,4,Female,94,2,2,Research Scientist,4,Single,12658,9683,8,Yes,21,3,2,2,16,3,1,14,12,5,7,10+yrs,0.3333333333333333,6329.0,0.3433333333333333,Medium
33,0,Travel_Rarely,900,Sales,5,4,Medical,1,Female,79,2,4,Healthcare Representative,3,Single,5559,14902,3,No,20,3,2,0,7,3,2,6,4,0,4,6-10yrs,0.0,1389.75,0.04,Low
26,0,Non-Travel,895,Sales,17,3,Other,1,Female,42,4,1,Sales Executive,3,Divorced,5340,22104,0,Yes,23,3,1,0,8,2,4,5,5,0,5,3-5yrs,0.0,5340.0,0.09,Low
33,0,Travel_Rarely,1288,Research & Development,12,2,Medical,3,Male,42,2,4,Laboratory Technician,2,Single,7730,15286,6,Yes,23,3,4,2,20,2,4,17,5,14,10,10+yrs,0.7777777777777778,1932.5,0.21666666666666667,Low
